Time,Temperature,Humidity,Pressure,Motion,Alert,Light_int
2022-07-10 18:26:30,23.0,48.0,29,,0,132
2022-07-10 18:26:33,24.0,43.0,29,,0,129
2022-07-10 18:26:37,23.0,48.0,29,,0,131
2022-07-10 18:26:40,23.0,48.0,29,,0,127
2022-07-10 18:26:43,23.0,48.0,29,,0,128
2022-07-10 18:26:47,23.0,48.0,29,,0,129
2022-07-10 18:26:50,23.0,48.0,29,,0,129
2022-07-10 18:26:53,23.0,48.0,29,,0,135
2022-07-10 18:26:57,23.0,48.0,29,,0,131
2022-07-10 18:27:00,23.0,48.0,29,,0,127
2022-07-10 18:27:03,23.0,48.0,29,,0,128
2022-07-10 18:27:07,23.0,48.0,29,,0,134
2022-07-10 18:27:10,23.0,48.0,29,,0,137
2022-07-10 18:27:13,23.0,48.0,29,,0,138
2022-07-10 18:27:17,23.0,48.0,29,,0,133
2022-07-10 18:27:20,23.0,48.0,29,,0,122
2022-07-10 18:27:23,23.0,48.0,29,,0,111
2022-07-10 18:27:27,23.0,48.0,29,,0,126
2022-07-10 18:27:30,23.0,48.0,29,,0,121
2022-07-10 18:27:33,23.0,48.0,29,,0,117
2022-07-10 18:27:36,23.0,48.0,29,,0,110
2022-07-10 18:27:40,23.0,48.0,29,,0,103
2022-07-10 18:27:43,23.0,48.0,29,,0,60
2022-07-10 18:27:46,23.0,48.0,29,,0,43
2022-07-10 18:27:50,23.0,48.0,29,,0,44
2022-07-10 18:27:53,23.0,48.0,29,,0,46
2022-07-10 18:27:56,23.0,48.0,29,,0,46
2022-07-10 18:28:00,23.0,48.0,29,,0,46
2022-07-10 18:28:03,23.0,48.0,30,,0,53
2022-07-10 18:28:06,23.0,48.0,30,,0,55
2022-07-10 18:28:10,23.0,48.0,29,,0,75
2022-07-10 18:28:13,23.0,48.0,29,,0,102
2022-07-10 18:28:16,24.0,43.0,29,,0,109
2022-07-10 18:28:19,23.0,47.0,29,,0,87
2022-07-10 18:28:23,23.0,47.0,29,,0,90
2022-07-10 18:28:26,23.0,47.0,29,,0,97
2022-07-10 18:28:30,24.0,43.0,29,,0,98
2022-07-10 18:28:33,23.0,47.0,29,,0,91
2022-07-10 18:28:36,23.0,47.0,29,,0,93
2022-07-10 18:28:40,23.0,47.0,29,,0,86
2022-07-10 18:28:43,24.0,43.0,29,,0,79
2022-07-10 18:28:46,23.0,47.0,29,,0,87
2022-07-10 18:28:50,23.0,47.0,29,,0,83
2022-07-10 18:28:53,23.0,47.0,29,,0,86
2022-07-10 18:28:56,23.0,47.0,30,,0,103
2022-07-10 18:28:59,23.0,47.0,29,,0,117
2022-07-10 18:29:03,23.0,47.0,30,,0,115
2022-07-10 18:29:06,23.0,47.0,29,,0,117
2022-07-10 18:29:09,23.0,47.0,29,,0,122
2022-07-10 18:29:13,23.0,47.0,29,,0,126
2022-07-10 18:29:16,23.0,47.0,29,,0,125
2022-07-10 18:29:19,24.0,43.0,29,,0,123
2022-07-10 18:29:23,24.0,47.0,30,,0,134
2022-07-10 18:29:26,23.0,47.0,30,,0,137
2022-07-10 18:29:29,23.0,47.0,29,,0,138
2022-07-10 18:29:33,23.0,47.0,29,,0,130
2022-07-10 18:29:36,23.0,47.0,29,,0,133
2022-07-10 18:29:39,23.0,47.0,29,,0,125
2022-07-10 18:29:43,23.0,47.0,29,,0,129
2022-07-10 18:29:46,23.0,47.0,29,,0,131
2022-07-10 18:29:49,23.0,47.0,29,,1,126
2022-07-10 18:29:53,23.0,47.0,29,,0,128
2022-07-10 18:29:56,23.0,47.0,29,,0,128
Time,Temperature,Humidity,Pressure,Motion,Alert,Light_int
Time,Temperature,Humidity,Pressure,Motion,Alert,Light_int
2022-07-10 18:41:04,24.0,43.0,29,0,0,101
2022-07-10 18:41:08,23.0,46.0,29,0,0,103
2022-07-10 18:41:11,23.0,46.0,29,1,0,105
2022-07-10 18:41:14,23.0,46.0,29,1,0,108
